GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
37007PEAC,0,Voting District PEAC,Anson,2077,1614,316,79,39,5,24,1595,1297,217,41,27,3,10,821,257,557,340,480
37007WS,0,Voting District WS,Anson,506,267,158,67,8,0,6,353,199,117,31,2,0,4,181,92,88,105,76
37007LILE,0,Voting District LILE,Anson,3510,1558,1820,40,11,24,57,2672,1229,1373,25,10,15,20,1577,1064,506,1157,420
37007W1,0,Voting District W1,Anson,3536,981,2410,63,28,18,36,2623,817,1725,30,21,17,13,1628,1227,393,1256,372
37007W2,0,Voting District W2,Anson,4676,1481,2779,289,45,51,31,4109,1325,2391,279,37,50,27,1123,776,343,803,320
37007W3,0,Voting District W3,Anson,3734,1942,1600,52,67,9,64,2887,1645,1149,26,38,7,22,1524,854,655,954,570
37007MM,0,Voting District MM,Anson,1954,482,1319,102,5,10,36,1431,407,937,59,3,6,19,886,719,166,726,160
37007BURN,0,Voting District BURN,Anson,1942,1546,309,34,27,8,18,1513,1226,237,18,13,6,13,859,287,563,348,511
37007ANS,0,Voting District ANS,Anson,1665,942,643,36,32,4,8,1289,736,502,18,24,4,5,755,407,336,484,271
37007GULL,0,Voting District GULL,Anson,1613,640,923,34,2,3,11,1224,510,681,23,1,3,6,720,457,260,481,239
37007POLK,0,Voting District POLK,Anson,1735,891,761,16,21,16,30,1286,709,528,8,15,13,13,659,316,340,382,277
3700915,0,Voting District 15,Ashe,1104,1042,3,47,3,6,3,930,889,3,31,3,2,2,552,177,360,218,334
3700912,0,Voting District 12,Ashe,868,827,3,19,1,1,17,710,684,2,14,1,0,9,448,142,296,132,316
3700903,0,Voting District 03,Ashe,612,581,1,15,11,2,2,487,465,1,14,3,2,2,317,80,234,79,238
3700910,0,Voting District 10,Ashe,413,392,0,9,1,2,9,332,316,0,9,1,2,4,160,49,108,49,111
3700902,0,Voting District 02,Ashe,1819,1733,0,61,4,4,17,1439,1391,0,31,3,4,10,891,311,559,358,534
3700911,0,Voting District 11,Ashe,2652,2447,17,171,2,4,11,2129,1996,14,105,2,4,8,1240,517,701,579,661
3700917,0,Voting District 17,Ashe,1230,1186,2,23,1,6,12,985,958,1,18,1,2,5,571,174,382,192,379
3700907,0,Voting District 07,Ashe,680,656,0,14,0,0,10,535,522,0,6,0,0,7,259,110,138,124,135
3700906,0,Voting District 06,Ashe,718,694,5,12,1,2,4,585,572,2,6,1,0,4,344,115,222,136,208
3700918,0,Voting District 18,Ashe,240,229,1,4,0,1,5,200,191,1,2,0,1,5,112,36,75,34,78
3700908,0,Voting District 08,Ashe,302,297,1,0,0,0,4,252,247,1,0,0,0,4,131,65,64,69,62
3700904,0,Voting District 04,Ashe,613,603,1,7,0,1,1,500,491,1,6,0,1,1,289,119,169,131,158
3700916,0,Voting District 16,Ashe,2614,2452,11,102,12,3,34,2094,1971,11,84,10,3,15,1266,465,780,484,782
3700913,0,Voting District 13,Ashe,1376,1286,4,73,3,5,5,1122,1044,4,64,3,2,5,777,289,470,339,438
3700914,0,Voting District 14,Ashe,2708,2601,3,77,10,4,13,2172,2102,2,48,6,2,12,1414,491,904,529,885
3700920,0,Voting District 20,Ashe,4614,4057,46,413,35,10,53,3681,3290,33,290,28,10,30,2167,856,1249,979,1188
3700909,0,Voting District 09,Ashe,4718,4337,50,264,26,5,36,3827,3552,41,182,23,4,25,2131,876,1205,1032,1099
3701112,0,Voting District 12,Avery,384,374,0,7,0,1,2,320,314,0,3,0,1,2,204,48,155,46,158
3701101,0,Voting District 01,Avery,1297,1134,19,122,4,6,12,996,879,5,97,4,5,6,668,151,512,160,508
3701103,0,Voting District 03,Avery,672,652,0,17,1,1,1,547,535,0,9,1,1,1,301,66,228,68,233
3701102,0,Voting District 02,Avery,2996,2717,67,131,24,12,45,2538,2314,65,102,14,8,35,1491,577,894,548,943
3701105,0,Voting District 05,Avery,614,592,4,12,0,3,3,501,489,4,3,0,3,2,228,38,188,37,191
3701109,0,Voting District 09,Avery,490,478,0,10,0,1,1,365,356,0,8,0,1,0,224,27,195,33,191
3701118,0,Voting District 18,Avery,516,492,0,18,0,1,5,395,380,0,11,0,1,3,241,63,175,62,179
3701119,0,Voting District 19,Avery,468,458,0,4,1,2,3,384,380,0,1,1,1,1,204,25,177,28,176
3701110,0,Voting District 10,Avery,2930,2204,577,109,11,18,11,2709,2001,577,91,11,18,11,504,144,351,141,363
3701104,0,Voting District 04,Avery,132,127,3,0,0,0,2,105,100,3,0,0,0,2,58,25,33,23,35
3701117,0,Voting District 17,Avery,711,691,9,10,0,0,1,555,540,7,7,0,0,1,337,53,283,63,274
3701106,0,Voting District 06,Avery,1227,1154,7,55,0,6,5,992,939,7,40,0,3,3,449,112,332,109,340
3701108,0,Voting District 08,Avery,443,407,1,30,2,2,1,345,319,1,21,2,1,1,238,45,193,49,189
3701114,0,Voting District 14,Avery,1189,1124,7,42,3,0,13,930,889,4,29,2,0,6,597,157,434,142,454
3701113,0,Voting District 13,Avery,676,651,0,20,2,1,2,538,518,0,15,2,1,2,337,117,220,118,219
3701116,0,Voting District 16,Avery,1207,1097,7,92,3,3,5,1031,966,2,55,2,2,4,816,254,552,310,506
3701115,0,Voting District 15,Avery,1096,990,1,85,2,7,11,899,833,1,51,2,2,10,528,126,395,132,396
3701107,0,Voting District 07,Avery,296,287,4,3,0,1,1,235,228,4,2,0,1,0,175,26,148,21,154
3701111,0,Voting District 11,Avery,453,400,0,30,8,1,14,353,322,0,17,6,1,7,343,124,216,112,230
37013RVRD,0,Voting District RVRD,Beaufort,3282,1918,670,665,3,8,18,2478,1602,475,385,3,5,8,1446,566,877,624,822
37013AUROR,0,Voting District AUROR,Beaufort,1621,811,730,48,2,6,24,1305,685,575,30,2,4,9,918,548,367,574,344
37013NCRK,0,Voting District NCRK,Beaufort,1933,1701,187,28,1,3,13,1615,1427,159,18,1,3,7,934,275,653,343,591
37013WASH1,0,Voting District WASH1,Beaufort,2165,949,1030,146,10,6,24,1690,819,753,90,7,4,17,982,632,344,635,347
37013BLCK,0,Voting District BLCK,Beaufort,1008,649,319,19,5,4,12,841,545,274,13,2,3,4,627,312,312,358,269
37013OLDF,0,Voting District OLDF,Beaufort,1892,1222,566,78,9,1,16,1483,989,435,43,9,1,6,916,430,482,493,423
37013PINET,0,Voting District PINET,Beaufort,1241,1087,77,61,4,4,8,957,854,59,33,4,3,4,583,80,500,144,439
37013BELHV,0,Voting District BELHV,Beaufort,2354,1185,1009,113,9,8,30,1833,969,773,65,6,4,16,1190,656,527,697,493
37013GILEA,0,Voting District GILEA,Beaufort,2141,1848,234,21,19,3,16,1897,1670,185,15,15,2,10,1422,494,922,523,899
37013TCRK,0,Voting District TCRK,Beaufort,3517,2656,534,236,22,18,51,2650,2059,398,139,19,15,20,1630,506,1113,605,1025
37013PSJW3,0,Voting District PSJW3,Beaufort,2057,525,1338,136,16,1,41,1507,475,920,80,15,1,16,1038,803,233,839,199
37013CHOCO,0,Voting District CHOCO,Beaufort,6147,4175,1425,431,18,7,91,4524,3245,1004,223,17,5,30,2273,824,1445,944,1329
37013WASH2,0,Voting District WASH2,Beaufort,2198,909,1145,85,16,6,37,1737,796,853,55,14,4,15,1015,675,337,674,341
37013PANTE,0,Voting District PANTE,Beaufort,1792,1052,558,161,0,12,9,1392,812,457,111,0,6,6,815,306,506,361,454
37013WASH4,0,Voting District WASH4,Beaufort,3297,2111,838,309,6,5,28,2571,1735,624,186,6,2,18,1548,666,877,704,844
37013BEADM,0,Voting District BEADM,Beaufort,2412,2044,151,189,3,3,22,1846,1617,101,114,2,3,9,1148,188,958,292,856
37013EDWAR,0,Voting District EDWAR,Beaufort,1485,863,563,31,7,5,16,1190,737,428,10,6,4,5,718,376,338,412,306
37013SURBA,0,Voting District SURBA,Beaufort,2274,2107,89,42,4,5,27,1872,1742,80,23,3,3,21,1287,366,917,449,838
37013HB,0,Voting District HB,Beaufort,1191,1010,109,67,0,2,3,912,783,87,37,0,2,3,578,120,452,174,404
37013WDPD,0,Voting District WDPD,Beaufort,2040,1755,184,81,3,5,12,1616,1436,119,46,3,5,7,992,249,735,311,681
37013WASHP,0,Voting District WASHP,Beaufort,1712,1128,349,219,3,4,9,1316,914,257,139,2,3,1,950,382,565,409,541
37015C2,0,Voting District C2,Bertie,2182,690,1449,29,0,9,5,1707,585,1096,16,0,7,3,1031,766,261,789,242
37015M1,0,Voting District M1,Bertie,1103,516,573,1,1,3,9,849,418,421,0,1,3,6,533,286,246,307,226
37015C1,0,Voting District C1,Bertie,1229,588,612,13,0,3,13,986,493,470,8,0,3,12,595,292,302,323,272
37015MH,0,Voting District MH,Bertie,992,398,577,4,3,3,7,811,336,463,2,3,3,4,554,335,217,371,183
37015W2,0,Voting District W2,Bertie,966,905,42,1,8,4,6,764,728,24,1,5,2,4,540,47,493,150,390
37015W1,0,Voting District W1,Bertie,7005,2083,4614,83,82,47,96,5703,1775,3712,58,58,42,58,2811,1912,893,2025,786
37015M2,0,Voting District M2,Bertie,1290,452,808,10,1,3,16,983,386,578,7,1,3,8,573,370,199,411,162
37015SN,0,Voting District SN,Bertie,1410,259,1091,49,0,4,7,1025,213,778,26,0,4,4,670,560,110,581,89
37015WH,0,Voting District WH,Bertie,1554,913,626,8,1,1,5,1274,768,498,3,1,1,3,742,348,394,398,344
37015WD,0,Voting District WD,Bertie,1409,164,1191,37,7,3,7,1050,135,879,26,5,1,4,632,567,65,570,62
37015RX,0,Voting District RX,Bertie,1671,369,1264,24,0,7,7,1302,323,954,17,0,3,5,801,623,176,629,172
37015IW,0,Voting District IW,Bertie,471,56,405,8,0,1,1,392,52,335,4,0,0,1,281,259,20,266,15
37017P201,0,Voting District P201,Bladen,2047,1644,322,40,7,19,15,1607,1312,245,22,6,15,7,1006,298,698,440,566
37017P10,0,Voting District P10,Bladen,1094,723,263,73,3,16,16,813,556,202,44,1,7,3,500,222,272,298,202
37017P202,0,Voting District P202,Bladen,3962,2798,924,132,3,43,62,3006,2219,660,74,3,26,24,1572,550,1004,801,771
37017P40,0,Voting District P40,Bladen,2304,1485,578,194,4,19,24,1838,1221,460,126,4,16,11,1013,390,618,503,510
37017P25,0,Voting District P25,Bladen,1829,848,834,98,3,26,20,1414,703,608,68,3,21,11,816,444,366,521,295
37017P30,0,Voting District P30,Bladen,1884,341,1136,13,0,341,53,1503,301,911,7,0,256,28,939,826,111,849,90
37017P75,0,Voting District P75,Bladen,1850,630,1073,61,4,55,27,1439,512,830,41,2,40,14,913,693,216,723,190
37017P60,0,Voting District P60,Bladen,2318,1104,906,222,5,49,32,1789,901,707,133,5,29,14,961,560,400,617,344
37017P45,0,Voting District P45,Bladen,965,684,169,100,0,9,3,739,550,132,47,0,8,2,351,114,233,163,188
37017P80,0,Voting District P80,Bladen,1896,1012,519,333,6,8,18,1410,799,378,209,6,6,12,714,324,383,374,340
37017P70,0,Voting District P70,Bladen,733,429,246,41,1,5,11,551,339,178,23,1,5,5,323,176,147,207,116
37017P15,0,Voting District P15,Bladen,4467,2874,862,629,1,41,60,3314,2267,616,370,1,31,29,1841,611,1223,852,989
37017P35,0,Voting District P35,Bladen,1217,543,502,117,4,25,26,923,448,372,72,4,18,9,514,305,204,346,168
37017P501,0,Voting District P501,Bladen,4042,1738,2034,202,22,12,34,3068,1415,1475,136,16,9,17,2000,1222,770,1389,611
37017P502,0,Voting District P502,Bladen,2638,1180,1269,124,9,17,39,2092,999,974,82,7,13,17,1168,714,443,813,355
37017P65,0,Voting District P65,Bladen,909,613,202,78,0,11,5,745,523,163,44,0,11,4,413,170,243,188,224
37017P55,0,Voting District P55,Bladen,1035,596,363,45,0,16,15,822,474,302,28,0,14,4,424,224,199,260,164
3701907,0,Voting District 07,Brunswick,3167,2654,290,138,15,7,63,2693,2323,221,97,14,7,31,1764,726,1019,787,977
3701922,0,Voting District 22,Brunswick,2619,2495,17,45,8,14,40,2259,2164,15,35,8,11,26,1581,544,1014,627,954
3701920,0,Voting District 20,Brunswick,4342,3867,166,205,10,39,55,3584,3300,99,118,6,29,32,2146,732,1383,906,1240
3701917,0,Voting District 17,Brunswick,5873,4246,1279,237,15,29,67,5008,3811,976,150,15,21,35,3193,1514,1665,1658,1535
3701901,0,Voting District 01,Brunswick,2723,1771,686,144,10,29,83,2003,1343,517,82,7,21,33,1093,561,525,633,460
3701911,0,Voting District 11,Brunswick,3657,2035,1326,202,7,32,55,2734,1571,998,112,4,25,24,1547,940,590,1007,540
3701913,0,Voting District 13,Brunswick,5323,4209,565,370,27,50,102,4102,3346,417,238,20,39,42,1941,787,1124,981,960
3701910,0,Voting District 10,Brunswick,6186,5615,369,107,21,13,61,5600,5169,296,73,21,12,29,4060,1478,2554,1516,2544
3701905,0,Voting District 05,Brunswick,5335,4218,689,245,17,63,103,3979,3214,517,144,14,48,42,2182,863,1287,977,1205
3701919,0,Voting District 19,Brunswick,4816,4351,128,237,25,17,58,4318,3999,101,158,20,16,24,2630,1030,1572,1053,1577
3701916,0,Voting District 16,Brunswick,4767,4380,124,208,16,15,24,4341,4072,90,135,14,13,17,3063,1092,1947,1177,1886
3701914,0,Voting District 14,Brunswick,5142,4593,198,237,45,12,57,4246,3873,150,158,31,12,22,2837,939,1875,1121,1716
3701915,0,Voting District 15,Brunswick,6018,4950,464,458,33,43,70,4918,4203,337,289,27,36,26,3036,1075,1944,1204,1832
3701902,0,Voting District 02,Brunswick,7119,4372,1526,935,40,80,166,5287,3424,1162,552,30,55,64,2327,1264,1038,1314,1013
3701923,0,Voting District 23,Brunswick,2716,2641,14,19,5,13,24,2350,2297,11,12,4,10,16,1676,603,1047,677,999
3701921,0,Voting District 21,Brunswick,5904,5340,233,156,35,20,120,4520,4197,133,92,25,13,60,2715,849,1836,912,1803
3701908,0,Voting District 08,Brunswick,4769,3991,456,164,40,13,105,3945,3360,364,128,33,13,47,2468,1085,1354,1134,1334
3701904,0,Voting District 04,Brunswick,13819,10943,1722,640,190,59,265,10931,8944,1298,382,144,47,116,6429,2847,3527,2868,3560
3701903,0,Voting District 03,Brunswick,2408,1307,780,216,15,21,69,1842,1066,583,127,15,15,36,956,579,367,600,356
3701918,0,Voting District 18,Brunswick,3377,2654,229,444,2,30,18,2448,2002,171,247,2,20,6,1152,360,774,511,641
3701912,0,Voting District 12,Brunswick,3747,3331,269,77,6,25,39,3151,2848,201,53,5,23,21,1924,738,1159,869,1055
3701906,0,Voting District 06,Brunswick,2408,1716,584,35,4,19,50,1944,1395,476,29,1,13,30,1053,429,615,491,562
3701909,0,Voting District 09,Brunswick,1196,1139,6,30,7,9,5,1067,1026,5,19,7,6,4,835,296,537,323,512
3702109.1,0,Voting District 09.1,Buncombe,4216,3158,569,316,25,18,130,3266,2592,376,208,21,17,52,1930,1351,559,1280,650
3702144.1,0,Voting District 44.1,Buncombe,5260,4735,102,252,89,21,61,4056,3729,59,160,59,19,30,2832,1255,1550,1188,1644
3702169.1,0,Voting District 69.1,Buncombe,4104,3619,108,234,35,19,89,3169,2871,77,148,25,17,31,2022,871,1117,875,1147
3702130.1,0,Voting District 30.1,Buncombe,5301,4639,141,269,137,23,92,4062,3655,91,169,86,18,43,2798,1211,1554,1160,1638
3702102.1,0,Voting District 02.1,Buncombe,4100,2719,1109,100,39,11,122,3264,2346,742,69,32,9,66,2411,2247,140,2216,195
3702126.1,0,Voting District 26.1,Buncombe,2189,1676,138,285,51,5,34,1758,1407,88,207,36,1,19,1067,696,351,692,375
3702117.1,0,Voting District 17.1,Buncombe,1830,1627,94,50,29,1,29,1559,1388,82,40,27,1,21,1331,1030,288,958,372
3702167.1,0,Voting District 67.1,Buncombe,2663,2516,23,51,7,0,66,2213,2104,19,37,5,0,48,1742,902,814,869,873
3702120.1,0,Voting District 20.1,Buncombe,1153,938,153,26,27,1,8,999,834,122,16,22,1,4,700,531,158,501,199
3702107.1,0,Voting District 07.1,Buncombe,1933,1575,243,46,15,6,48,1571,1312,182,33,12,6,26,1329,1081,236,1055,274
3702138.2,0,Voting District 38.2,Buncombe,2130,2018,7,47,11,3,44,1634,1570,5,29,5,2,23,1125,431,682,426,699
3702148.1,0,Voting District 48.1,Buncombe,5273,4576,119,453,31,25,69,4049,3645,80,249,24,20,31,2318,982,1308,964,1354
3702153.1,0,Voting District 53.1,Buncombe,4056,3808,50,132,8,17,41,3129,2976,38,68,8,14,25,1945,814,1116,865,1080
3702147.1,0,Voting District 47.1,Buncombe,5810,5415,45,230,20,19,81,4545,4302,26,137,16,17,47,2714,1050,1632,1090,1624
3702165.1,0,Voting District 65.1,Buncombe,4179,3737,99,196,52,14,81,3409,3137,63,120,42,10,37,1952,1005,932,991,961
3702170.1,0,Voting District 70.1,Buncombe,3508,2881,104,381,52,14,76,2818,2411,82,243,40,11,31,1527,921,584,885,642
37021102.1,0,Voting District 102.1,Buncombe,5975,5309,318,133,99,10,106,5027,4552,237,104,72,8,54,3660,2006,1618,1871,1789
3702168.1,0,Voting District 68.1,Buncombe,6332,5430,130,583,50,43,96,4819,4287,84,331,36,30,51,2585,1076,1467,1120,1465
3702146.1,0,Voting District 46.1,Buncombe,1673,1535,11,80,21,9,17,1339,1243,6,54,17,9,10,1004,454,543,445,559
37021106.1,0,Voting District 106.1,Buncombe,6306,4660,453,776,212,15,190,4849,3836,310,483,128,14,78,2810,1896,879,1801,1009
3702152.1,0,Voting District 52.1,Buncombe,5279,4862,47,207,61,27,75,4108,3813,30,135,58,22,50,2299,871,1378,911,1388
3702104.1,0,Voting District 04.1,Buncombe,1566,1445,51,37,14,1,18,1251,1169,37,23,9,1,12,1110,879,217,832,278
3702114.2,0,Voting District 14.2,Buncombe,3044,1955,520,465,19,2,83,2403,1707,370,280,15,1,30,1539,1156,373,1080,459
37021100.1,0,Voting District 100.1,Buncombe,9126,6013,1793,899,124,34,263,7282,5037,1393,610,95,33,114,4427,2992,1381,2860,1567
3702139.1,0,Voting District 39.1,Buncombe,4899,4634,37,126,17,21,64,3827,3669,25,69,11,17,36,2831,1294,1500,1252,1578
3702159.1,0,Voting District 59.1,Buncombe,4208,3971,44,68,27,19,79,3404,3257,25,40,16,14,52,2446,1151,1265,1135,1311
3702125.1,0,Voting District 25.1,Buncombe,3028,2496,216,165,68,12,71,2542,2134,186,110,51,11,50,1551,918,613,901,650
3702132.1,0,Voting District 32.1,Buncombe,2868,2427,136,223,14,9,59,2174,1907,89,130,9,9,30,1277,617,642,613,664
37021104.1,0,Voting District 104.1,Buncombe,3081,2915,42,60,22,3,39,2671,2555,34,40,17,3,22,2379,1622,727,1503,876
3702133.2,0,Voting District 33.2,Buncombe,1569,1463,48,21,12,2,23,1242,1175,36,12,6,1,12,996,541,437,516,480
3702106.1,0,Voting District 06.1,Buncombe,1665,1482,94,52,16,3,18,1395,1255,79,35,13,3,10,1097,746,338,712,385
37021105.1,0,Voting District 105.1,Buncombe,5926,4159,497,1074,28,22,146,4540,3422,359,657,21,18,63,2088,1239,823,1202,886
3702103.1,0,Voting District 03.1,Buncombe,2781,2193,407,90,21,10,60,2413,1947,328,70,19,8,41,1789,1600,167,1575,214
3702136.1,0,Voting District 36.1,Buncombe,2660,2464,75,68,14,6,33,2276,2112,70,47,13,4,30,1266,604,636,586,680
3702145.1,0,Voting District 45.1,Buncombe,5772,5004,107,501,40,23,97,4486,3998,82,309,27,22,48,2596,1190,1369,1191,1405
3702157.1,0,Voting District 57.1,Buncombe,3534,3209,94,98,81,15,37,2681,2470,68,60,55,11,17,2125,989,1116,906,1219
3702158.1,0,Voting District 58.1,Buncombe,2364,2155,27,128,25,7,22,1863,1736,22,73,15,5,12,1275,581,679,567,708
37021103.1,0,Voting District 103.1,Buncombe,4856,4069,431,138,57,15,146,3939,3422,315,89,41,15,57,2986,1915,1040,1802,1184
